Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAF-5927,AROMA MED FARMS LLP,2016-01-30,Telangana,HYDERABAD,2,2,100000,0,Agriculture and Allied Activities
1,AAF-5922,ASTRA CATERING SERVICES LLP,2016-01-30,Telangana,HYDERABAD,2,2,100000,0,Manufacturing (Food stuffs)
1,AAF-5920,BLUESTREAK SOLUTIONS LLP,2016-01-30,Telangana,HYDERABAD,2,2,100000,0,Business Services
1,AAF-5912,CORN BUSINESS SOLUTIONS LLP   ,2016-01-30,Andra Pradesh,HYDERABAD,2,2,50000,0,Business Services
1,AAF-5913,E M V E MINES & MINERALS LLP  ,2016-01-30,Telangana,HYDERABAD,3,3,100000,0,Mining & Quarrying
1,AAF-5926,ECOPIE SERVICES LLP,2016-01-30,Telangana,HYDERABAD,2,2,100000,0,"Community, personal & Social Services"
1,AAF-5916,G G ADVENTURE LLP             ,2016-01-30,Andra Pradesh,HYDERABAD,2,2,10000,0,Business Services
1,AAF-5921,MI SPACES LLP,2016-01-30,Telangana,HYDERABAD,3,3,100000,0,Business Services
1,AAF-5917,NAMDHARI IMPEX LLP,2016-01-30,Telangana,HYDERABAD,2,2,10000000,0,Trading
1,AAF-5919,PEOPLE COMBINE CONTENT SOLUTIONS LLP,2016-01-30,Andra Pradesh,HYDERABAD,1,1,2400000,0,"Community, personal & Social Services"
1,AAE-9623,REINA CONSULTING LLP,2016-01-22,Haryana,DELHI,2,0,100000,0,Business Services
1,AAE-9622,ROBOTEK LLP,2016-01-06,Delhi,DELHI,2,0,200000,0,Business Services
1,AAF-5914,SAHASRA TRADECOM LLP,2016-01-30,Andra Pradesh,HYDERABAD,2,2,1000000,0,Trading
1,AAF-5924,SHRI OM ABODES AND LIFESPACES LLP,2016-01-30,Telangana,HYDERABAD,2,2,50000,0,Real Estate and Renting
1,AAF-5929,SPANDANA INFRA AND ENVIRO TECH LLP,2016-01-30,Andra Pradesh,HYDERABAD,2,2,1000000,0,Construction
1,AAF-5923,SRI RAJAPALA INDUSTRIES LLP,2016-01-30,Telangana,HYDERABAD,2,2,300200,0,Manufacturing (Food stuffs)
1,AAF-5928,STARK PROSOFT SOLUTIONS LLP,2016-01-30,Telangana,HYDERABAD,2,2,100000,0,Business Services
1,AAF-5925,STONE WORLD GRANITE LLP,2016-01-30,Telangana,HYDERABAD,2,2,100000,0,Mining & Quarrying
1,AAF-5915,TEJAS FOOD INDUSTRIES LLP,2016-01-30,Telangana,HYDERABAD,3,3,100000,0,Manufacturing (Food stuffs)
1,AAF-5910,VIDEO DUCKS ANIMATIONS LLP,2016-01-30,Telangana,HYDERABAD,2,2,200000,0,Business Services
