Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAF-5976,A P BIOTECH LLP,2016-02-01,Maharashtra,PUNE,0,2,200000,74,Business Services
1,AAF-6036,AARNA GOLD LLP,2016-02-01,Telangana,HYDERABAD,9,2,50000000,27,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAF-5993,AAVA INFRABUILD LLP,2016-02-01,Gujarat,AHMEDABAD,0,2,200000,70,Real Estate and Renting
1,AAF-5943,AC REALTY MARKET LLP,2016-02-01,Maharashtra,PUNE,0,2,100000,70,Real Estate and Renting
1,AAF-5942,AC REALTY SPACES LLP,2016-02-01,Maharashtra,PUNE,0,2,100000,70,Real Estate and Renting
1,AAF-6002,AKSHAR ACADEMY LLP,2016-02-01,Uttar Pradesh,KANPUR,0,2,200000,80,"Community, personal & Social Services"
1,AAF-6035,ARINGALE'S RENEWABLE ENERGY LLP,2016-02-01,Maharashtra,MUMBAI,0,2,200000,74,Business Services
1,AAF-5964,ASGARD TECHNOLOGIES LLP,2016-02-01,Delhi,DELHI,1,2,240000,72,Business Services
1,AAF-6033,AURANGABAD PEDIATRIC SUPERSPECIALITY LLP,2016-02-01,Maharashtra,MUMBAI,0,3,600000,85,"Community, personal & Social Services"
1,AAF-6001,BALAJI GREEN BIO & ECO SOLUTIONS LLP,2016-02-01,Maharashtra,PUNE,0,2,20000,40,"Electricity, Gas & Water companies"
1,AAF-6031,BLUE BRIDGE EDUCATION CONSULTANTS LLP,2016-02-01,Maharashtra,MUMBAI,0,2,200000,80,"Community, personal & Social Services"
1,AAF-6019,CAFE CORPORATE COMPLIANCE SOLUTIONS LLP,2016-02-01,Uttar Pradesh,KANPUR,0,2,200000,74,Business Services
1,AAF-5995,CAPINVEST ADVISORY SOLUTIONS LLP,2016-02-01,Gujarat,AHMEDABAD,0,2,100000,74,Business Services
1,AAF-5953,CHEFKNACK ENTERPRISE LLP,2016-02-01,Maharashtra,PUNE,0,2,100000,15,Manufacturing (Food stuffs)
1,AAF-6013,CLOVER EXIM LLP,2016-02-01,Tamil Nadu,COIMBATORE,0,3,600000,74,Business Services
1,AAF-6024,CREATIVE FASTENERS LLP,2016-02-01,Maharashtra,MUMBAI,0,2,400000,51,Trading
1,AAF-5951,DECOR HOUSE LLP,2016-02-01,Delhi,DELHI,0,3,200000,51,Trading
1,AAF-5977,DKAN RESEARCH AND TECHNOLOGIES LLP,2016-02-01,Maharashtra,PUNE,0,4,200000,73,"Community, personal & Social Services"
1,AAF-5933,DOWNTOWN TRAVELS LLP,2016-02-01,Gujarat,AHMEDABAD,3,2,200000,63,"Transport, storage and Communications"
1,AAF-6028,EDOX TECHNOLOGIES LLP,2016-02-01,Andra Pradesh,HYDERABAD,0,2,200000,72,Business Services
1,AAF-5972,ELITEVILLA E-COMMERCE LLP,2016-02-01,Haryana,DELHI,0,2,20000,51,Trading
1,AAF-6027,FENDER ENTERPRISES LLP,2016-02-01,Maharashtra,MUMBAI,0,3,200000,52,Trading
1,AAF-6014,FIDES FINVEST LLP,2016-02-01,Uttar Pradesh,KANPUR,0,2,200000,67,Finance
1,AAF-5965,GEMINI VANIJYA LLP,2016-02-01,Gujarat,AHMEDABAD,3,2,7720000,70,Real Estate and Renting
1,AAF-6018,GLOBAL INTELLIGENCE SERVICES LLP,2016-02-01,Rajasthan,JAIPUR,0,3,100000,74,Business Services
1,AAF-5967,GLOBETROTTER TELECOM LLP,2016-02-01,Maharashtra,MUMBAI,1,2,20000,64,"Transport, storage and Communications"
1,AAF-5963,HARMONY WEAVERS LLP,2016-02-01,Maharashtra,MUMBAI,0,2,200000,24,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAF-5954,HERMES HOSPITALITY LLP,2016-02-01,Delhi,DELHI,0,2,200000,74,Business Services
1,AAF-6023,HOME TIMES MEDIA LLP,2016-02-01,Maharashtra,MUMBAI,0,2,200000,22,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)"
1,AAF-5984,HOMEGROWN PRODUCE LLP,2016-02-01,Tamil Nadu,CHENNAI,0,2,200000,1,Agriculture and Allied Activities
1,AAF-5946,INDIGRASS ECOTREND RETAIL LLP,2016-02-01,Maharashtra,PUNE,0,3,100000,20,Manufacturing (Wood Products)
1,AAF-5940,INDO GLOBAL FULGAON INDUSTRIES LLP,2016-02-01,Maharashtra,PUNE,0,2,200000,45,Construction
1,AAF-5945,INFOBRIDGE CONSULTANTS LLP,2016-02-01,Maharashtra,PUNE,0,2,40000,74,Business Services
1,AAF-6008,INTACT DIGITAL LLP,2016-02-01,Uttar Pradesh,KANPUR,0,2,200000,74,Business Services
1,AAF-5936,IPFIT PROPERTIES AND INVESTMENTS LLP,2016-02-01,Maharashtra,MUMBAI,2,2,200000,45,Construction
1,AAF-6010,JAI SHREE SALASAR ENERGY LLP,2016-02-01,Rajasthan,JAIPUR,0,2,200000,74,Business Services
1,AAF-5973,JMJ AEC SERVICES LLP,2016-02-01,Gujarat,AHMEDABAD,0,3,200000,74,Business Services
1,AAF-5962,JMVD FINANCIAL ADVISORS LLP,2016-02-01,Haryana,DELHI,0,2,200000,74,Business Services
1,AAF-5960,JMVD MARKET SOLUTIONS LLP,2016-02-01,Haryana,DELHI,0,2,200000,74,Business Services
1,AAF-5989,KAPADIA ADVISORY SERVICES LLP,2016-02-01,Gujarat,AHMEDABAD,0,2,20000,74,Business Services
1,AAF-6003,KAYDF CONSULTANTS LLP,2016-02-01,Uttar Pradesh,KANPUR,0,2,20000,74,Business Services
1,AAF-5948,KESELEC CORP LLP,2016-02-01,Delhi,DELHI,0,3,2000000,65,Finance
1,AAF-5991,KIBBUTZ BIOTECH LLP,2016-02-01,Rajasthan,JAIPUR,0,2,200000,51,Trading
1,AAF-5971,KRISHNACHARYA TRADING LLP,2016-02-01,Gujarat,AHMEDABAD,0,3,100000,74,Business Services
1,AAF-5980,LAXVEER CERAMIC LLP,2016-02-01,Gujarat,AHMEDABAD,3,2,200000,26,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAF-5939,MADHURAM MOVIE KREATIONS LLP,2016-02-01,Telangana,HYDERABAD,0,2,200000,92,"Community, personal & Social Services"
1,AAF-5988,MANTRI CORPORATE AND FINANCIAL ADVISORS,2016-02-01,Maharashtra,PUNE,0,2,100000,74,Business Services
1,AAF-5958,MARGIN5 SOLUTIONS LLP,2016-02-01,Maharashtra,MUMBAI,0,2,200000,64,"Transport, storage and Communications"
1,AAF-6022,MARTS FARM & AGRO FOODS LLP,2016-02-01,Maharashtra,MUMBAI,2,2,200000,74,Business Services
1,AAF-5996,MATCHLESS SALES AND CONSULTING LLP,2016-02-01,Delhi,DELHI,0,2,20000,74,Business Services
1,AAF-6004,MOONLINES TECHNOLOGY LLP,2016-02-01,Uttar Pradesh,KANPUR,0,2,200000,22,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)"
1,AAF-5986,MORE COMMUNICATIONS & ENTERTAINMENT LLP,2016-02-01,Maharashtra,PUNE,0,2,100000,22,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)"
1,AAF-5990,MORE CONSUMER AND AGRO PRODUCTS LLP,2016-02-01,Maharashtra,PUNE,0,2,100000,51,Trading
1,AAF-6016,MOTO DYNAMICS DETAILING LLP,2016-02-01,Maharashtra,MUMBAI,0,2,200000,74,Business Services
1,AAF-5950,MOTOCRAFT TECHSERVICES LLP,2016-02-01,Maharashtra,PUNE,0,2,200000,74,Business Services
1,AAF-5932,MUP MANAGED BUSINESS SERVICES LLP,2016-02-01,Tamil Nadu,CHENNAI,0,2,20000,74,Business Services
1,AAF-5994,NANDADEEP HOSPITALS AND RESEARCH CENTRE,2016-02-01,Maharashtra,PUNE,0,3,600000,85,"Community, personal & Social Services"
1,AAF-6007,NEO ODYSSEY LLP,2016-02-01,Rajasthan,JAIPUR,0,2,2000000,60,"Transport, storage and Communications"
1,AAF-5949,NEXO SOLUTIONS LLP,2016-02-01,Maharashtra,PUNE,0,2,100000,74,Business Services
1,AAF-5982,NYALKARAN BUILDERS LLP,2016-02-01,Gujarat,AHMEDABAD,0,9,1800000,45,Construction
1,AAF-5935,PACKONE SOLUTIONS LLP,2016-02-01,Maharashtra,MUMBAI,0,2,200000,29,Manufacturing (Machinery & Equipments)
1,AAF-6025,PATISSERIE CAKES R US LLP,2016-02-01,Maharashtra,MUMBAI,0,6,240000,15,Manufacturing (Food stuffs)
1,AAF-5998,PETAL GARMENTS LLP,2016-02-01,Delhi,DELHI,0,2,200000,51,Trading
1,AAF-5999,POTENCIA ACADEMY LLP,2016-02-01,Punjab,CHANDIGARH,0,2,200000,80,"Community, personal & Social Services"
1,AAF-5959,PRIME TIME REALCON LLP,2016-02-01,Delhi,DELHI,0,2,200000,45,Construction
1,AAF-5938,PRODEIO LIFESTYLE LLP,2016-02-01,Maharashtra,MUMBAI,0,2,400000,19,Manufacturing (Leather & products thereof)
1,AAF-5944,PROXIMA GEOSPATIAL SERVICES LLP,2016-02-01,Maharashtra,PUNE,0,2,20000,72,Business Services
1,AAF-5956,PRUDENT REALESTATES AND DEVELOPERS LLP,2016-02-01,Delhi,DELHI,0,2,4650000,45,Construction
1,AAF-6015,QUASARS GREEN ENERGY SOLUTIONS LLP,2016-02-01,Uttar Pradesh,KANPUR,0,2,200000,29,Manufacturing (Machinery & Equipments)
1,AAF-5961,RAELIUS IMPEX TRADING AND SERVICES LLP,2016-02-01,Tamil Nadu,CHENNAI,0,2,1000000,51,Trading
