Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAF-8249,PRIMEVISION REALTY LLP,2016-03-01,Maharashtra,MUMBAI,45,2,900000,0,Real estate activities
1,AAF-8250,AMIT PLASTOTECH LLP,2016-03-01,Rajasthan,JAIPUR,0,3,600000,0,Manufacture of rubber and plastic products
1,AAF-8251,SENSE COMSYS SOLUTIONS LLP,2016-03-01,Maharashtra,MUMBAI,0,2,300000,0,Other Business Activities
1,AAF-8252,DAFFODIL MEGA STRUCTURE LLP,2016-03-01,Maharashtra,MUMBAI,2,2,403272000,0,Construction
1,AAF-8253,PROGRO VENTURES AND ADVISORS LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,Other Business Activities
1,AAF-8254,RELIABLE EXIM (INDIA) LLP,2016-03-01,Maharashtra,MUMBAI,0,2,3000000,0,Manufacture of textiles
1,AAF-8255,TECHINCEPT TECHNOLOGIES LIMITED LIABILIT,2016-03-01,Maharashtra,MUMBAI,1,2,600000,0,Computer and related activities
1,AAF-8256,AAF-8256,2016-03-01,Maharashtra,MUMBAI,0,2,300000,0,Other Business Activities
1,AAF-8257,RADHIYA SOLUTION LLP,2016-03-01,Gujarat,AHMEDABAD,0,2,600000,0,"Retail trade,except of motor vehicles and motorcycles,repair of personal&household goods"
1,AAF-8258,PARCOMM ENGINEERING LLP,2016-03-01,West Bengal,KOLKATA,0,2,6000000,0,Manufacture of machinery and equipment N.E.C.
1,AAF-8259,MANOJ DHUPELIA STOCK BROKING SERVICES LL,2016-03-01,West Bengal,KOLKATA,2,2,27612000,0,Other Business Activities
1,AAF-8260,SOUTHERN PACIFIC ENERGIES LLP,2016-03-01,West Bengal,KOLKATA,0,2,60000,0,Other Business Activities
1,AAF-8261,YASH ILLUMINATION LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8262,ROSS ENTERPRISES LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,Other Business Activities
1,AAF-8263,SUNGLOW HIRISE LLP,2016-03-01,West Bengal,KOLKATA,1,2,600000,0,Real estate activities
1,AAF-8264,TALSTEER CONSULTING LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,Other Business Activities
1,AAF-8265,NADAKKAVU LIFE SPACES LLP,2016-03-01,Karnataka,BANGALORE,0,2,120000000,0,Real estate activities
1,AAF-8266,KLOSTES APPARELS LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,Manufacture of wearing apparel;dressing and dyeing of fur
1,AAF-8267,INTERLINK TRANSLATION SERVICES LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,Other Business Activities
1,AAF-8268,DOXA SERVICED OFFICES LLP,2016-03-01,Tamil Nadu,CHENNAI,0,2,600000,0,Other Business Activities
1,AAF-8269,ETOMATE TECHNOLOGY LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,Computer and related activities
1,AAF-8270,KEMPMANN BIO ORGANICS LLP,2016-03-01,Karnataka,BANGALORE,0,3,1800000,0,Other Business Activities
1,AAF-8271,SUNDERVAN HOSPITALITY LLP,2016-03-01,Maharashtra,MUMBAI,0,2,1200000,0,Hotels and Restaurants
1,AAF-8272,STRATNEL TECHNOLOGIES LLP,2016-03-01,Karnataka,BANGALORE,0,2,6000000,0,Other Business Activities
1,AAF-8273,AMIN EQUIPMENT LLP,2016-03-01,Gujarat,AHMEDABAD,0,4,21000000,0,"Sale,Maintenance&Repair of motor vehicles and motor cycles;retail sale of automotive fuel"
1,AAF-8274,VISHAL ASSOCIATES LLP,2016-03-01,Delhi,DELHI,0,3,1068000,0,Manufacture of paper and paper
1,AAF-8275,VISOR SHIPPING AGENCIES LLP,2016-03-01,Gujarat,AHMEDABAD,0,2,600000,0,Other Business Activities
1,AAF-8276,SALTEK PHARMACEUTICALS LLP,2016-03-01,Gujarat,AHMEDABAD,0,2,600000,0,Manufacture of chemicals and chemical products
1,AAF-8277,YOUR SPACE DOCTOR LIMITED LIABILITY PART,2016-03-01,Maharashtra,MUMBAI,0,5,300000,0,"Supporting and auxiliary transport activities, activities of travel agencies"
1,AAF-8278,KM ALLIANCE LLP,2016-03-01,Gujarat,AHMEDABAD,0,2,60000,0,Other Business Activities
1,AAF-8279,EARTHY NOTES ENTERPRISE LLP,2016-03-01,Karnataka,BANGALORE,0,3,1800000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8280,RAV ENCLAVES LLP,2016-03-01,West Bengal,KOLKATA,0,2,3000000,0,Real estate activities
1,AAF-8281,SIDDHI GANPATI WAREHOUSE & DISTRIBUTION,2016-03-01,West Bengal,KOLKATA,0,3,5400000,0,Other Business Activities
1,AAF-8282,SUDHAKAR BARTER LLP,2016-03-01,West Bengal,KOLKATA,2,2,18312000,0,"Financial intermediation, except insurance and pension funding"
1,AAF-8283,VENDORGLOBE PROCUREMENT SERVICES LLP,2016-03-01,Karnataka,BANGALORE,1,2,600000,0,Computer and related activities
1,AAF-8284,EXPLORE EXHIBITIONS & CONFERENCE LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,"Recreational, cultural and sporting activities"
1,AAF-8285,KANKARIYA INDUSTRIES LLP,2016-03-01,Maharashtra,PUNE,0,2,15000000,0,"Sale,Maintenance&Repair of motor vehicles and motor cycles;retail sale of automotive fuel"
1,AAF-8286,SAN CREATION LLP,2016-03-01,Maharashtra,PUNE,0,2,300000,0,Construction
1,AAF-8287,SOCIAL TRADERS LLP,2016-03-01,Maharashtra,PUNE,0,2,600000,0,Computer and related activities
1,AAF-8288,SWATI VINTRADE LLP,2016-03-01,West Bengal,KOLKATA,0,2,1800000,0,Other Business Activities
1,AAF-8289,SARTHENA ADVISORS LLP,2016-03-01,Karnataka,BANGALORE,0,3,6000000,0,Other Business Activities
1,AAF-8290,GREAT DEALS REALITY LLP,2016-03-01,Karnataka,BANGALORE,0,2,300000,0,Other Business Activities
1,AAF-8291,I3 VENTURA INFO SOLUTIONS LLP,2016-03-01,Karnataka,BANGALORE,0,3,60000,0,Computer and related activities
1,AAF-8292,RAGHUNATH TRADING LLP,2016-03-01,Maharashtra,MUMBAI,1,2,600000,0,Other Business Activities
1,AAF-8293,SRIGK PROPERTIES LLP,2016-03-01,Karnataka,BANGALORE,0,4,1800000,0,Real estate activities
1,AAF-8294,EMARK CONSTRUCTIONS LLP,2016-03-01,Maharashtra,PUNE,0,2,600000,0,Construction
1,AAF-8295,PUNCHTATTVA ENTERTAINMENT LLP,2016-03-01,Maharashtra,MUMBAI,0,4,240000,0,Other Business Activities
1,AAF-8296,LEAP2EXCEL CONSULTING LLP,2016-03-01,Maharashtra,PUNE,0,4,1200000,0,Other Service activities
1,AAF-8297,DOCTOR DIARY LLP,2016-03-01,Karnataka,BANGALORE,0,2,1200000,0,Computer and related activities
1,AAF-8298,MAHABAL COMPUTERS LLP,2016-03-01,Maharashtra,MUMBAI,1,2,645000,0,Computer and related activities
1,AAF-8299,AHASKAR ARYAA SOLAR LLP,2016-03-01,Karnataka,BANGALORE,0,2,6000000,0,"Electricity, Gas, Steam and Hot water supply"
1,AAF-8300,INGO ONLINE SOLUTIONS LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,Other Business Activities
1,AAF-8301,MECHIGNITE TECH SOLUTIONS LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,Other Business Activities
1,AAF-8302,AMAZINGWORLD VENTURES LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,Other Business Activities
1,AAF-8303,ROHAN FINCORP LLP,2016-03-01,Dadra & Nagar Haveli,AHMEDABAD,0,2,600000,0,Other Service activities
1,AAF-8304,PARAM SPACES LLP,2016-03-01,Maharashtra,PUNE,0,2,600000,0,Construction
1,AAF-8305,NY GLOBAL CONSULTING LLP,2016-03-01,Gujarat,AHMEDABAD,0,2,600000,0,Other Service activities
1,AAF-8306,HI FOODWAY AND HOSPITALITY LLP,2016-03-01,Maharashtra,PUNE,0,3,600000,0,Hotels and Restaurants
1,AAF-8307,SHOPYOURSTUFF RETAIL LLP,2016-03-01,Karnataka,BANGALORE,0,2,600000,0,"Retail trade,except of motor vehicles and motorcycles,repair of personal&household goods"
1,AAF-8308,SNS WEALTH CREATORS LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,Other Business Activities
1,AAF-8309,MEDITRAVEL SERVICES LLP,2016-03-01,Karnataka,BANGALORE,0,2,60000,0,Other Business Activities
1,AAF-8310,TECHB CONSULTANCY SERVICES LLP,2016-03-01,Karnataka,BANGALORE,0,3,300000,0,Computer and related activities
1,AAF-8311,RAM DOOT INTRATRADE LLP,2016-03-01,Gujarat,AHMEDABAD,0,2,21000000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8312,999 CREATIVE SERVICES LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,Other Business Activities
1,AAF-8313,MAHABALI INTRATRADE LLP,2016-03-01,Gujarat,AHMEDABAD,0,2,20160000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8314,RIJKE VOEDSEL FOODS LLP,2016-03-01,Karnataka,BANGALORE,0,2,60000,0,Other Business Activities
1,AAF-8315,URBAN GEAR GIFTS LLP,2016-03-01,Karnataka,BANGALORE,0,4,1200000,0,Other Business Activities
1,AAF-8316,SPOT NOTE MUSIC LLP,2016-03-01,Tamil Nadu,CHENNAI,0,2,3600000,0,Other Business Activities
1,AAF-8317,GOODTIMES INDIA TRADERS LLP,2016-03-01,Karnataka,BANGALORE,0,4,1200000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8318,KARMAVALI ENTERTAINMENT LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,Other Service activities
1,AAF-8319,DNS TRADERS LLP,2016-03-01,Tamil Nadu,CHENNAI,0,4,2400000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8320,DHANRAJ CONSORTIUM LIMITED LIABILITY PAR,2016-03-01,Rajasthan,JAIPUR,2,2,15000000,0,Other Business Activities
1,AAF-8321,VAISHNAV CONSULTANCY LLP,2016-03-01,Delhi,DELHI,0,3,900000,0,Other Business Activities
1,AAF-8322,MAITREYA TRADING LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8323,GREEN TERRA PRODUCTS LIMITED LIABILITY P,2016-03-01,Maharashtra,PUNE,0,2,300000,0,Other Business Activities
1,AAF-8324,UDAIPUR LAUNDRY.COM LLP,2016-03-01,Rajasthan,JAIPUR,0,2,300000,0,Other Service activities
1,AAF-8325,LUMENART INTERNATIONAL LIGHTING LLP,2016-03-01,West Bengal,KOLKATA,0,6,3000000,0,Manufacture of electrical machinery and apparatus N.E.C.
1,AAF-8326,SILVER PETAL ADVISORY LLP,2016-03-01,Haryana,DELHI,1,2,600000,0,Other Business Activities
1,AAF-8327,ROCKSTAR INTERACTIVE INDIA LLP,2016-03-01,Karnataka,BANGALORE,0,2,4200000,0,Computer and related activities
1,AAF-8328,MEWAR HELICOPTER SERVICES LLP,2016-03-01,Rajasthan,JAIPUR,0,2,600000,0,Air Transport
1,AAF-8329,SYMMETRIX TOOLINGS LLP,2016-03-01,Maharashtra,PUNE,0,2,600000,0,Manufacture of machinery and equipment N.E.C.
1,AAF-8330,3AG BUSINESS AND TECHNOLOGY SOLUTIONS LL,2016-03-01,Rajasthan,JAIPUR,0,4,600000,0,Computer and related activities
1,AAF-8331,SHREE ASHTAVINAYAK GEMS LLP,2016-03-01,Gujarat,AHMEDABAD,1,2,600000,0,Other Business Activities
1,AAF-8332,RADOLENT DEVELOPERS LLP,2016-03-01,West Bengal,KOLKATA,0,2,600000,0,Real estate activities
1,AAF-8333,UNNATI INTERNATIONAL LLP,2016-03-01,West Bengal,KOLKATA,0,2,29550000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8334,GIPFEL HR SOLUTIONS LLP,2016-03-01,Gujarat,AHMEDABAD,0,2,120000,0,Other Service activities
1,AAF-8335,ECOCIATE SOLUTIONS LLP,2016-03-01,Orissa,ROC-CUTTACK,0,2,600000,0,Other Business Activities
1,AAF-8336,DHANYA TRADEMART LLP,2016-03-01,Madhya Pradesh,GWALIOR,0,2,60000000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8337,PANDIT NANDY SUPPLIER LLP,2016-03-01,West Bengal,KOLKATA,0,2,600000,0,Other Business Activities
1,AAF-8338,EINOVATE BRAND CONSULTING LLP,2016-03-01,Maharashtra,MUMBAI,0,3,180000,0,Other Business Activities
1,AAF-8339,DANGE CONSULTING & ADVISORY SERVICES (IN,2016-03-01,Maharashtra,MUMBAI,0,2,60000,0,Other Business Activities
1,AAF-8340,UNNATI PLASTICS LLP,2016-03-01,West Bengal,KOLKATA,0,2,6000000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8341,CALIMERA TECHNOLOGY LLP,2016-03-01,Bihar,ROC-PATNA,0,2,600000,0,Other Business Activities
1,AAF-8342,SRSK INFOTECH LLP,2016-03-01,Maharashtra,MUMBAI,0,2,66000,0,Construction
1,AAF-8343,FAIR LAWN TRADERS LLP,2016-03-01,West Bengal,KOLKATA,1,2,34170000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8344,SHRIYA DIGNOSTIC CENTER LLP,2016-03-01,Bihar,ROC-PATNA,0,2,600000,0,Health and Social Work
1,AAF-8345,UNIFOUR TRADERS LLP,2016-03-01,West Bengal,KOLKATA,0,2,600000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8346,CODEZONE TECH LLP,2016-03-01,Karnataka,BANGALORE,0,2,300000,0,Computer and related activities
1,AAF-8347,TECHNOVET INDUSTRIES LLP,2016-03-01,Bihar,ROC-PATNA,0,3,600000,0,Manufacture of furniture; manufacturing N.E.C.
1,AAF-8348,SHRIJIKANHA DAIRY FARMS AND HEALTHY MILK,2016-03-01,Madhya Pradesh,GWALIOR,0,3,600000,0,Manufacture of food products and beverages
1,AAF-8349,SAHAJEEVIKA AGRI SOLUTIONS LLP,2016-03-01,Bihar,ROC-PATNA,0,2,600000,0,"Activities Agriculture, Hunting and related Service activities"
1,AAF-8350,DHANRAJ HIGHRISE LLP,2016-03-01,Maharashtra,MUMBAI,0,2,300000,0,Other Business Activities
1,AAF-8351,SARVASHRESHTHA SOLUTIONS LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,Other Business Activities
1,AAF-8352,URMI VENTURES LLP,2016-03-01,Maharashtra,MUMBAI,0,2,600000,0,"Supporting and auxiliary transport activities, activities of travel agencies"
1,AAF-8353,CHITRA LAND DEVELOPERS LLP,2016-03-02,Not assigned,CHENNAI,0,3,100000,0,Real estate activities
1,AAF-8354,WAYPOINT SPORTS LLP,2016-03-02,Not assigned,CHENNAI,0,3,100000,0,"Recreational, cultural and sporting activities"
1,AAF-8355,NAVYUG INFRAPROJECTS LLP,2016-03-02,Not assigned,JAIPUR,0,2,340000,0,Real estate activities
1,AAF-8356,ASYMPTOTES T-SHIRTS LLP,2016-03-02,Not assigned,JAIPUR,0,3,3000,0,"Retail trade,except of motor vehicles and motorcycles,repair of personal&household goods"
1,AAF-8357,HS3 DYNAMICS LLP,2016-03-02,Not assigned,DELHI,2,2,100000,0,Other Business Activities
1,AAF-8358,SHREELAKSHMI ONLINE RETAIL SERVICES LLP,2016-03-02,Not assigned,CHENNAI,0,2,200000,0,Other Business Activities
1,AAF-8359,MARGDARSHIKA EDUCATIONS LLP,2016-03-02,Not assigned,MUMBAI,0,2,15000,0,Education
1,AAF-8360,VENGARAI BUSINESS SOLUTIONS LLP,2016-03-02,Not assigned,COIMBATORE,0,2,100000,0,Other Business Activities
1,AAF-8361,REMEDI SPECIALITY MEDICINES LLP,2016-03-02,Not assigned,CHENNAI,0,2,600000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8362,LENORA LANDMARK LLP,2016-03-02,Not assigned,PUNE,2,3,100000,0,Construction
1,AAF-8363,KOSA WELLBEING LLP,2016-03-02,Not assigned,PUNE,0,2,100000,0,Other Service activities
1,AAF-8364,PROWELL TECHNOLOGIES LLP,2016-03-02,Not assigned,DELHI,0,2,100000,0,Other Service activities
1,AAF-8365,WAI AUTO WORLD LLP,2016-03-02,Not assigned,PUNE,0,2,100000,0,"Sale,Maintenance&Repair of motor vehicles and motor cycles;retail sale of automotive fuel"
1,AAF-8366,AGROSIAA AGRI-COMMODITIES ONLINE SERVICE,2016-03-02,Not assigned,PUNE,0,8,150000,0,Other Service activities
1,AAF-8367,LANDMARK FORTUNE ASSETS LLP,2016-03-02,Not assigned,PUNE,6,2,50000,0,Construction
1,AAF-8368,MASMARA COLLECTIONS LLP,2016-03-02,Not assigned,ERNAKULAM,0,2,100000,0,Other Business Activities
1,AAF-8369,SHINNING DEALTRADE LLP,2016-03-02,Not assigned,KOLKATA,0,2,100000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8370,YESWE ASSAYING AND HALLMARKING CENTRE LL,2016-03-02,Not assigned,ERNAKULAM,0,2,1000000,0,Other Business Activities
1,AAF-8371,MANIKRIT DISTRIBUTORS LLP,2016-03-02,Not assigned,KOLKATA,0,2,190000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8372,JAL TARANG SUPPLIERS LLP,2016-03-02,Not assigned,KOLKATA,0,2,352000,0,"Wholesale trade and commission trade, except of motor vehicles and motorcycles"
1,AAF-8373,VALLUVANAD ROOFINGS LIMITED LIABILITY PA,2016-03-02,Not assigned,ERNAKULAM,0,4,1000000,0,"Manufacture of fabricated metal products, except machinery and equipments"
1,AAF-8374,VIKAS TRANSPORT AND CARRIERS LLP,2016-03-02,Not assigned,COIMBATORE,5,2,15920000,0,Land transport; Transport via pipelines
1,AAF-8375,PRAMUKH BUILDERS LLP,2016-03-02,Not assigned,KOLKATA,0,2,1325000,0,Real estate activities
