Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAG-9118,RRV HOSPITALITIES LLP,2016-07-15,Maharashtra,PUNE,0,3,0,55,Trading
1,AAG-9160,AJ HEALTHCARE LLP,2016-07-15,Uttar Pradesh,KANPUR,1,2,100000,85,"Community, personal & Social Services"
1,AAG-9162,AVAROM PHARMA LLP,2016-07-15,Uttar Pradesh,KANPUR,0,2,100000,33,Manufacturing (Machinery & Equipments)
1,AAG-9174,JANS EXPORTS LLP,2016-07-15,Uttar Pradesh,KANPUR,0,2,100000,17,Manufacturing (Textiles)
1,AAG-9175,ONKAR SANJEEV INFRAZONE LLP,2016-07-15,Uttar Pradesh,KANPUR,0,2,100000,70,Real Estate and Renting
1,AAG-9177,APPROIDS TECHNOLOGIES LIMITED LIABILITY,2016-07-15,Uttar Pradesh,KANPUR,0,2,50000,72,Business Services
1,AAG-9178,PLUTEK TECHNOLOGIES LLP,2016-07-15,Uttar Pradesh,KANPUR,2,2,0,93,"Community, personal & Social Services"
1,AAG-9179,ADZ GATEWAY LLP,2016-07-15,Uttar Pradesh,KANPUR,0,2,0,74,Business Services
1,AAG-9181,NEST FINE ARTS ACADEMY LLP,2016-07-15,Uttar Pradesh,KANPUR,0,2,25000,74,Business Services
1,AAG-9187,SHRI'S ANI ENTERTAINMENT LLP,2016-07-15,Uttar Pradesh,KANPUR,0,2,0,92,"Community, personal & Social Services"
1,AAG-9189,ANJNA HOLIDAYS PLANNERS LLP,2016-07-15,Uttar Pradesh,KANPUR,1,2,150000,63,"Transport, storage and Communications"
1,AAG-8062,AAYAAN STRUCTURES LLP,2016-07-01,Delhi,DELHI,0,2,100000,70,Real Estate and Renting
1,AAG-8195,ANUGRAHA DESIGN AND PUBLISHING LLP,2016-07-01,Maharashtra,MUMBAI,0,3,100000,22,"Manufacturing (Paper & Paper products, Publishing, printing"
1,AAG-8196,SRISIRI ENTERPRISES LLP,2016-07-01,Telangana,HYDERABAD,0,2,100000,74,Business Services
1,AAG-8197,ROBUST PROMOTERS LLP,2016-07-01,Delhi,DELHI,0,2,100000,70,Real Estate and Renting
1,AAG-8198,TECHMENTOOL CONSULTANTS LLP,2016-07-01,Karnataka,BANGALORE,0,2,90000,74,Business Services
1,AAG-8199,MAGNETIC ENTERTAINMENT NETWORKS LLP,2016-07-01,Delhi,DELHI,0,2,100000,74,Business Services
1,AAG-8200,ZAP CABBING LLP,2016-07-01,Delhi,DELHI,0,2,100000,63,"Transport, storage and Communications"
1,AAG-8201,ALGOOD ENGINEERING SOLUTIONS LLP,2016-07-01,Karnataka,BANGALORE,0,2,50000,74,Business Services
