Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAH-5231,INDOMART LLP,2016-10-01,Telagana,HYDERABAD,0,2,200000,74,Business Services
1,AAH-5235,AUSTRO PLASTIC INDUSTRIES LLP,2016-10-01,Telagana,HYDERABAD,0,3,300000,74,Business Services
1,AAH-5242,ECONOMIC ENGINEERING EXCELLENCE SERVICES,2016-10-01,Telagana,HYDERABAD,0,3,200000,74,Business Services
1,AAH-5273,ORIGO BUSINESS SOLUTIONS LLP,2016-10-01,Telagana,HYDERABAD,0,2,200000,74,Business Services
1,AAH-5274,SKANDA BUILDCON LLP,2016-10-01,Andhra Pradesh,HYDERABAD,0,2,1000000,45,Construction
1,AAH-5275,GG ICU LLP,2016-10-01,Andhra Pradesh,HYDERABAD,0,3,4200000,85,"Community, personal & Social Services"
1,AAH-5276,STAMSCO INFRA LLP,2016-10-01,Telagana,HYDERABAD,0,2,2000000,45,Construction
1,AAH-5277,HAMSINY AGRO INDUSTRIES LLP,2016-10-01,Andhra Pradesh,HYDERABAD,0,2,2000000,51,Trading
1,AAH-5278,CLOWN PICTURES LLP,2016-10-01,Telagana,HYDERABAD,0,2,1000000,22,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)"
1,AAH-5279,AWITA CONSULTING LLP,2016-10-01,Telagana,HYDERABAD,1,2,200000,74,Business Services
1,AAH-5280,EBIS TECHNOLOGIES LLP,2016-10-01,Andhra Pradesh,HYDERABAD,0,2,800000,74,Business Services
1,AAH-5281,HARSH IRON LLP,2016-10-01,Telagana,HYDERABAD,0,2,200000,27,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAH-5282,MAGNUM IT & BIOSCIENCES LLP,2016-10-01,Telagana,HYDERABAD,0,2,20000,72,Business Services
1,AAH-5283,AGASTYA PARTNERS LLP,2016-10-01,Telagana,HYDERABAD,0,4,200000,45,Construction
1,AAH-5284,CARNET MEDIA LLP,2016-10-01,Telagana,HYDERABAD,0,3,210000,50,Trading
1,AAH-5285,CVM MARKET LLP,2016-10-01,Telagana,HYDERABAD,0,2,200000,51,Trading
1,AAH-5314,GATEWIZ ACADEMY LLP,2016-10-03,Telagana,HYDERABAD,0,2,100000,80,"Community, personal & Social Services"
1,AAH-5328,DVSN PARTNERS LLP,2016-10-03,Telagana,HYDERABAD,2,2,15000000,93,"Community, personal & Social Services"
1,AAH-5410,LUCKIE TOWERS LLP,2016-10-04,Telagana,HYDERABAD,3,2,1000000,45,Construction
1,AAH-5427,ALPHA SHRI MEDIKEM LLP,2016-10-04,Telagana,HYDERABAD,0,2,100000,85,"Community, personal & Social Services"
