Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAJ-3069,MTC MAINTENANCE LLP,2017-05-01,Telangana,HYDERABAD,0,2,100000,93,"Community, personal & Social Services"
1,AAJ-3099,SHIVAY DREAM SPACE LLP,2017-05-01,Gujarat,AHMEDABAD,0,2,10000,45,Construction
1,AAJ-3100,SELSA SANITARYWARES LLP,2017-05-01,Gujarat,AHMEDABAD,8,2,100000,26,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAJ-3057,MAI MANPOWER SOLUTIONS LLP,2017-05-01,Maharashtra,MUMBAI,0,2,100000,93,"Community, personal & Social Services"
1,AAJ-3060,FIX RIGHT LLP,2017-05-01,Maharashtra,MUMBAI,0,2,200000,51,Trading
1,AAJ-3064,SUNDARAM ART PRINTING PRESS LLP,2017-05-01,Maharashtra,MUMBAI,0,4,100000,22,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)"
1,AAJ-3067,CLOVERFIELDS HOSPITALITY LLP,2017-05-01,Rajasthan,JAIPUR,0,3,100000,55,Trading
1,AAJ-3068,CCONNECTTECH PLAST LLP,2017-05-01,Rajasthan,JAIPUR,0,2,100000,36,Manufacturing (Others)
1,AAJ-3070,SIDDHIKA TRADEX LLP,2017-05-01,Rajasthan,JAIPUR,0,2,100000,51,Trading
1,AAJ-3071,ROHIT KAMRA DESIGNS LIMITED LIABILITY PA,2017-05-01,Rajasthan,JAIPUR,0,2,100000,17,Manufacturing (Textiles)
1,AAJ-3079,HAJI AGRICULTURE FARM LLP,2017-05-01,Uttar Pradesh,KANPUR,0,4,400000,70,Real Estate and Renting
1,AAJ-3082,NMR CONSULTING LLP,2017-05-01,Uttar Pradesh,KANPUR,0,3,100000,74,Business Services
1,AAJ-3053,PROGIST SOLUTIONS LLP,2017-05-01,Maharashtra,MUMBAI,1,2,100000,74,Business Services
1,AAJ-3054,ROOTS HOSPITALITY LLP,2017-05-01,Maharashtra,MUMBAI,0,2,100000,55,Trading
1,AAJ-3055,FYRA HOSPITALITY LLP,2017-05-01,Maharashtra,MUMBAI,0,3,100000,55,Trading
