Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAK-1834,BLUEDIAMOND PRODUCTION HOUSE LLP   ,2017-08-01,Gujarat,AHMEDABAD,0,2,3000000,74,Business Services
1,AAK-1835,DA VENTO BUILDING SYSTEMS LLP   ,2017-08-01,West Bengal,KOLKATA,2,2,2000000,74,Business Services
1,AAK-1842,FOODNEXT TRADING LLP   ,2017-08-01,Punjab,CHANDIGARH,0,2,100000,52,Trading
1,AAK-1843,SANTI BURDWAN UDYOG LLP   ,2017-08-01,West Bengal,KOLKATA,0,2,1000000,15,Manufacturing (Food stuffs)
1,AAK-1844,GOSHAG ENTERPRISES LLP   ,2017-08-01,West Bengal,KOLKATA,0,2,100000,51,Trading
1,AAK-1845,BVTECH PROJECTS LLP   ,2017-08-01,West Bengal,KOLKATA,0,2,1000000,45,Construction
1,AAK-1846,POLO CLUB AND KITCHEN LLP   ,2017-08-01,Maharashtra,MUMBAI,2,3,100000,55,Trading
1,AAK-1847,R J MANGEMENT SERVICES LLP   ,2017-08-01,West Bengal,KOLKATA,5,3,100000,74,Business Services
1,AAK-1849,RN MANAGEMENT SERVICES LLP   ,2017-08-01,West Bengal,KOLKATA,5,3,100000,74,Business Services
1,AAK-1851,N9 INTERNATIONAL LLP   ,2017-08-01,Maharashtra,MUMBAI,0,3,75000,17,Manufacturing (Textiles)
1,AAK-1836,KAVITA PROCON LLP   ,2017-08-01,Gujarat,AHMEDABAD,0,2,100000,70,Real Estate and Renting
1,AAK-1839,ABC ROADLINES LIMITED LIABILITY PARTNERS HIP  ,2017-08-01,Delhi,DELHI,2,2,500000,60,"Transport, storage and Communications"
1,AAK-1840,OMEGA TURNKEY PROJECTS LLP   ,2017-08-01,Delhi,DELHI,0,2,10000,45,Construction
1,AAK-1841,GREEN EARTH GRANITE LLP   ,2017-08-01,Haryana,DELHI,0,2,10000,14,Mining & Quarrying
1,AAK-1848,SRI BALAJI'S ONE LOOK GIFTS LLP   ,2017-08-01,Telangana,HYDERABAD,0,2,100000,52,Trading
1,AAK-1850,SBTEQ AUTOMATION & SYSTEMS LLP   ,2017-08-01,Andhra Pradesh,HYDERABAD,0,2,100000,74,Business Services
1,AAK-1858,GLOBEXO TRADING LLP   ,2017-08-01,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAK-1859,RPM PRODUCTIONS LLP   ,2017-08-01,West Bengal,KOLKATA,0,2,2500000,74,Business Services
1,AAK-1860,NINE HIGH ENTERTAINMENT LLP   ,2017-08-01,West Bengal,KOLKATA,0,3,100002,74,Business Services
1,AAK-1861,SUPEREME TIEUP LLP   ,2017-08-01,West Bengal,KOLKATA,1,2,4140000,51,Trading
1,AAK-1837,HAPPYSANZ TECH LLP   ,2017-08-01,Tamil Nadu,COIMBATORE,0,4,100000,72,Business Services
1,AAK-1838,SAKTHI IMPRINTS LLP   ,2017-08-01,Tamil Nadu,COIMBATORE,0,4,100000,17,Manufacturing (Textiles)
1,AAK-1865,WORLD GS INSTITUTE LLP   ,2017-08-01,Rajasthan,JAIPUR,0,4,100000,74,Business Services
1,AAK-1866,ASHAKRUPA BUILDCON LLP   ,2017-08-01,Gujarat,AHMEDABAD,1,2,100000,70,Real Estate and Renting
1,AAK-1875,TAXONIX BIZCARE LLP   ,2017-08-01,Kerala,ERNAKULAM,0,3,500000,74,Business Services
