Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAK-4731,WELLSIDE RETAIL LLP,2017-09-01,West Bengal,KOLKATA,1,2,100000,52,Trading
1,AAK-4732,H.B. POULTRIES LLP,2017-09-01,West Bengal,KOLKATA,0,2,200000,1,Agriculture and Allied Activities
1,AAK-4706,YAKI FINVEST LLP,2017-09-01,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAK-4709,FICHTREE VENTURE LLP,2017-09-01,Maharashtra,MUMBAI,2,2,50000,74,Business Services
1,AAK-4711,MANJULA ECOMMERCE LLP,2017-09-01,West Bengal,KOLKATA,1,2,100000,52,Trading
1,AAK-4712,TAPAN DHARNIDHAR CONSULTANTS LLP,2017-09-01,Maharashtra,MUMBAI,1,2,100000,74,Business Services
1,AAK-4713,CYPAX SOLUTIONS LLP,2017-09-01,West Bengal,KOLKATA,0,4,100000,74,Business Services
1,AAK-4714,BANARASI THREADS LIMITED LIABILITY PARTN,2017-09-01,Uttar Pradesh,KANPUR,0,2,100000,74,Business Services
1,AAK-4715,AIRGO AVIATION AND HOSPITALITY ACADEMY L,2017-09-01,Uttar Pradesh,KANPUR,0,2,200000,80,"Community, personal & Social Services"
1,AAK-4718,VIHAAN PROFESSIONAL WEALTH CREATORS LLP,2017-09-01,Uttar Pradesh,KANPUR,0,2,100000,67,Finance
1,AAK-4719,PPBR MEGA MART LLP,2017-09-01,Maharashtra,MUMBAI,0,4,100000,52,Trading
1,AAK-4707,SAMVITTI CONSULTING LLP,2017-09-01,Tamil Nadu,CHENNAI,0,2,2200000,45,Construction
1,AAK-4708,BALAJI DIAJEWELLERS LLP,2017-09-01,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAK-4710,ESSAA KITCHEN LLP,2017-09-01,West Bengal,KOLKATA,0,2,222000,51,Trading
1,AAK-4716,KHAIR CONSULTING SERVICES LLP,2017-09-01,Karnataka,BANGALORE,0,2,100000,74,Business Services
1,AAK-4717,KONCEPT PANDA ANIMATION STUDIO LLP,2017-09-01,Gujarat,AHMEDABAD,0,2,10000,74,Business Services
1,AAK-4729,CUBENOTION INTERIOR SOLUTIONS LLP,2017-09-01,Karnataka,BANGALORE,0,3,500000,74,Business Services
1,AAK-4736,YUGALE ENTERPRISES LLP,2017-09-01,Rajasthan,JAIPUR,0,2,200000,74,Business Services
1,AAK-4743,PURPLESIGMA TRADING LLP,2017-09-01,Haryana,DELHI,0,3,500000,67,Finance
1,AAK-4720,VRINDABAN LAMINATORS LLP,2017-09-01,Uttar Pradesh,KANPUR,5,2,6000000,36,Manufacturing (Others)
1,AAK-4721,CARMEL INDUSTRIES LLP,2017-09-01,Maharashtra,MUMBAI,0,2,100000,24,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAK-4722,UV DRY FRUITS LLP,2017-09-01,Maharashtra,MUMBAI,1,2,100000,51,Trading
1,AAK-4723,R. S. TREND LLP,2017-09-01,Uttar Pradesh,KANPUR,4,2,1000000,17,Manufacturing (Textiles)
1,AAK-4724,TALENT MINERS SERVICES LLP,2017-09-01,Uttar Pradesh,KANPUR,0,2,200000,74,Business Services
1,AAK-4725,REIGN CORPORATE SOLUTIONS LLP,2017-09-01,Uttar Pradesh,KANPUR,0,3,375000,74,Business Services
1,AAK-4726,SCISIGMA SOLUTION LLP,2017-09-01,Uttar Pradesh,KANPUR,0,2,100000,74,Business Services
1,AAK-4727,WELCO FOODS LLP,2017-09-01,Uttar Pradesh,KANPUR,2,2,962400,15,Manufacturing (Food stuffs)
1,AAK-4728,HRX DIGITECH LLP,2017-09-01,Maharashtra,MUMBAI,0,2,10000000,92,"Community, personal & Social Services"
1,AAK-4730,PERITO STAFFING SERVICES LLP,2017-09-01,Uttar Pradesh,KANPUR,0,2,40000,74,Business Services
1,AAK-4733,DIVINITY ASSOCIATES LLP,2017-09-01,Uttar Pradesh,KANPUR,2,2,1000000,74,Business Services
1,AAK-4734,CURRENTKIDS LLP,2017-09-01,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAK-4739,CURRY PRINT LLP,2017-09-01,West Bengal,KOLKATA,0,2,100000,22,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)"
1,AAK-4740,KARTINI DECORS LLP,2017-09-01,Karnataka,BANGALORE,0,2,100000,74,Business Services
1,AAK-4741,FOOD PEOPLE COMPANY LLP,2017-09-01,Goa,GOA,0,2,50000,55,Trading
1,AAK-4742,VIKINGS GLOBAL VENTURES LLP,2017-09-01,Goa,GOA,0,2,100000,74,Business Services
1,AAK-4745,OKTREE TRADERS LLP,2017-09-01,West Bengal,KOLKATA,0,2,100000,74,Business Services
1,AAK-4746,AGSP CONSTRUCTION LLP,2017-09-01,Gujarat,AHMEDABAD,8,2,5000000,70,Real Estate and Renting
1,AAK-4747,SUNGRACE CLEANTECH LLP,2017-09-01,Gujarat,AHMEDABAD,0,2,5000,74,Business Services
1,AAK-4748,MBA COMMERCIALS LLP,2017-09-01,Gujarat,AHMEDABAD,1,2,2450000,74,Business Services
1,AAK-4735,RIGHT ARM SECURITY SERVICES LLP,2017-09-01,West Bengal,KOLKATA,0,6,300000,93,"Community, personal & Social Services"
1,AAK-4737,AKIRA SALES LLP,2017-09-01,West Bengal,KOLKATA,0,2,100000,52,Trading
1,AAK-4738,SUNYAM SOFTWARE LLP,2017-09-01,West Bengal,KOLKATA,0,2,100000,72,Business Services
1,AAK-4744,MOBOLEAD DIGITAL MEDIA LLP,2017-09-01,Punjab,CHANDIGARH,0,2,100000,74,Business Services
1,AAK-4787,B. N. THAKUR - AUTO SERVICE LLP,2017-09-01,Goa,GOA,0,3,100000,50,Trading
1,AAK-4790,FUSION EVENT PLANNING LLP,2017-09-01,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAK-4800,BRAVOO MEDIA LLP,2017-09-04,Delhi,DELHI,0,2,100000,74,Business Services
1,AAK-4806,BEE TEE TEX LLP,2017-09-04,Maharashtra,MUMBAI,1,5,500000,51,Trading
1,AAK-4814,DEEPAK MEHTA AND ARCHENG STUDIO LLP,2017-09-04,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAK-4817,JOYCAM SECURITY SYSTEM LLP,2017-09-04,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAK-4749,K B RANI DRESSES LLP,2017-09-01,West Bengal,KOLKATA,0,2,100000,18,Manufacturing (Textiles)
1,AAK-4750,S B RANI DRESSES LLP,2017-09-01,West Bengal,KOLKATA,0,2,100000,18,Manufacturing (Textiles)
1,AAK-4752,SMART K.P MART LLP,2017-09-01,Uttar Pradesh,KANPUR,0,2,100000,74,Business Services
1,AAK-4756,SADGURU HOSPITALITIES LLP,2017-09-01,Maharashtra,MUMBAI,0,2,25000,55,Trading
1,AAK-4757,MAMBAS IMEX LLP,2017-09-01,Orissa,CUTTACK,0,2,100000,74,Business Services
1,AAK-4764,DINACO TEXTILES LLP,2017-09-01,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAK-4772,AFFLUENT FINANCIAL SERVICES LLP,2017-09-01,Uttar Pradesh,KANPUR,0,2,20000,74,Business Services
1,AAK-4774,AUXILIUM SOLUTIONS LLP,2017-09-01,Uttarakhand,UTTARAKHAND,0,3,100000,74,Business Services
1,AAK-4775,URBANAGE ATELIER LLP,2017-09-01,Uttarakhand,UTTARAKHAND,0,3,100000,74,Business Services
1,AAK-4778,URBAN SKY INFRATECH LLP,2017-09-01,Uttarakhand,UTTARAKHAND,0,2,100000,70,Real Estate and Renting
1,AAK-4751,SRH TRAVEL SOLUTIONS LLP,2017-09-01,Delhi,DELHI,0,4,2500000,63,"Transport, storage and Communications"
1,AAK-4753,PANDHER LOGISTICS LLP,2017-09-01,Delhi,DELHI,0,2,2500000,63,"Transport, storage and Communications"
1,AAK-4754,GANESHWARA COMMERCIAL LLP,2017-09-01,West Bengal,KOLKATA,0,2,100000,74,Business Services
1,AAK-4755,ECOLAP CREATION LLP,2017-09-01,Delhi,DELHI,0,2,100000,70,Real Estate and Renting
1,AAK-4758,TRINEEV REALCOM LLP,2017-09-01,West Bengal,KOLKATA,0,2,50000,45,Construction
1,AAK-4759,RKSD AGRICULTURIST LLP,2017-09-01,Punjab,CHANDIGARH,0,2,980000,1,Agriculture and Allied Activities
1,AAK-4760,ARKITON TILES LLP,2017-09-01,Gujarat,AHMEDABAD,9,3,100000,26,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAK-4761,GURUDITTA AGROFARMS LLP,2017-09-01,Punjab,CHANDIGARH,0,2,970000,1,Agriculture and Allied Activities
1,AAK-4762,MAHAPRABHU INFRASTRUCTURE LIMITED LIABIL,2017-09-01,Gujarat,AHMEDABAD,0,2,100000,45,Construction
1,AAK-4763,NEW VISION FIRE SAFETY ENTERPRISES LLP,2017-09-01,Delhi,DELHI,0,2,100000,74,Business Services
1,AAK-4765,SANGINI INFRA LLP,2017-09-01,Gujarat,AHMEDABAD,0,11,100000,70,Real Estate and Renting
1,AAK-4766,SHIVARTH ENTERPRISES LLP,2017-09-01,Gujarat,AHMEDABAD,0,2,100000,74,Business Services
1,AAK-4767,SAMRUDH HOSPITALITY LLP,2017-09-01,Gujarat,AHMEDABAD,4,2,500000,74,Business Services
1,AAK-4768,TAKSHRAJ INFRA LLP,2017-09-01,Gujarat,AHMEDABAD,0,2,100000,45,Construction
1,AAK-4769,PLATINUMSMART BUILDCON LLP,2017-09-01,Chandigarh,CHANDIGARH,0,4,100000,70,Real Estate and Renting
1,AAK-4770,DOOR2DOOR TECHSOLUTIONS LLP,2017-09-01,Delhi,DELHI,0,2,20000,72,Business Services
1,AAK-4771,HAR FATEH 13 LLP,2017-09-01,Punjab,CHANDIGARH,0,2,100000,74,Business Services
1,AAK-4773,ACME DRINKTEC SOLUTIONS LLP,2017-09-01,Delhi,DELHI,0,2,5000000,15,Manufacturing (Food stuffs)
1,AAK-4776,TERICON DEVELOPERS LLP,2017-09-01,Gujarat,AHMEDABAD,0,7,5000000,45,Construction
1,AAK-4777,KING'S CARS LLP,2017-09-01,Gujarat,AHMEDABAD,0,2,100000,50,Trading
1,AAK-4779,JMB INFRAPLANNERS LLP,2017-09-01,Uttarakhand,UTTARAKHAND,0,2,100000,70,Real Estate and Renting
1,AAK-4781,SVARNA SHAKTIMAN PLASTICA LLP,2017-09-01,Madhya Pradesh,GWALIOR,0,4,100000,25,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAK-4788,SANATAN AGRIFOOD LLP,2017-09-01,Madhya Pradesh,GWALIOR,1,2,60000000,1,Agriculture and Allied Activities
1,AAK-4789,ORANGE MUSKETEERS ADVISORY LLP,2017-09-01,Madhya Pradesh,GWALIOR,0,2,50000,74,Business Services
1,AAK-4797,PRAMUKH WEAVERS LLP,2017-09-04,Gujarat,AHMEDABAD,0,4,1000000,17,Manufacturing (Textiles)
1,AAK-4798,AGILEHUNT CONSULTING LLP,2017-09-04,Tamil Nadu,COIMBATORE,0,2,10000,74,Business Services
1,AAK-4799,NALAM PROPERTY DEVELOPERS LLP,2017-09-04,Tamil Nadu,COIMBATORE,0,3,9000000,70,Real Estate and Renting
1,AAK-4805,PALANI MURUGAN PILING& DRILLING SERVICES,2017-09-04,Tamil Nadu,COIMBATORE,0,2,200000,45,Construction
1,AAK-4809,PROZUEL PRODUCTS LLP,2017-09-04,Tamil Nadu,COIMBATORE,0,2,100000,52,Trading
1,AAK-4825,RADICAL IT TECH TRAINING LLP,2017-09-04,Maharashtra,PUNE,0,2,100000,74,Business Services
1,AAK-4780,JAY RANCHHODRAI BUILDCON LLP,2017-09-01,Gujarat,AHMEDABAD,9,2,2156000,70,Real Estate and Renting
1,AAK-4782,FARMSLICE INTERNATIONAL LLP,2017-09-01,Gujarat,AHMEDABAD,0,2,10000,74,Business Services
1,AAK-4783,AGRAZONE ENTERPRISE LLP,2017-09-01,Uttar Pradesh,KANPUR,0,2,100000,1,Agriculture and Allied Activities
1,AAK-4784,CHARKHARI INFORMATION TECHNOLOGY LLP,2017-09-01,Uttar Pradesh,KANPUR,0,2,100000,72,Business Services
1,AAK-4785,SAMVAAD AYANSH INFRA LLP,2017-09-01,Gujarat,AHMEDABAD,2,5,100000,70,Real Estate and Renting
1,AAK-4786,FILMYJUNCTION MEDIA LLP,2017-09-01,Telangana,HYDERABAD,0,2,1100000,93,"Community, personal & Social Services"
1,AAK-4791,SADDACAMPUS LLP,2017-09-01,Rajasthan,JAIPUR,0,2,40000,71,Real Estate and Renting
1,AAK-4792,DB CONSTRUCTIONS LLP,2017-09-01,Maharashtra,MUMBAI,0,2,50000,45,Construction
1,AAK-4793,B J CIVIL WORK INFRASTRUCTURE LLP,2017-09-01,Maharashtra,MUMBAI,0,3,100000,74,Business Services
1,AAK-4794,SRP WEALTH CREATORS LLP,2017-09-04,Gujarat,AHMEDABAD,1,2,1000000,74,Business Services
1,AAK-4795,SHREENATHJI INFRAPORT LLP,2017-09-04,Gujarat,AHMEDABAD,0,4,100000,63,"Transport, storage and Communications"
1,AAK-4796,VIHAN WEAVES LLP,2017-09-04,Gujarat,AHMEDABAD,0,4,1000000,17,Manufacturing (Textiles)
1,AAK-4801,GST ADVISORS LLP,2017-09-04,Delhi,DELHI,2,2,20000,67,Finance
1,AAK-4802,CTI TRANSPORT LLP,2017-09-04,West Bengal,KOLKATA,0,2,100000,60,"Transport, storage and Communications"
1,AAK-4803,HOLIDAY TRIPFFEE LLP,2017-09-04,Delhi,DELHI,0,2,30000,63,"Transport, storage and Communications"
1,AAK-4804,JESSLYN PROJECTS LLP,2017-09-04,West Bengal,KOLKATA,0,2,50000,70,Real Estate and Renting
1,AAK-4807,RVG ASSOCIATES LLP,2017-09-04,Rajasthan,JAIPUR,0,2,100000,74,Business Services
1,AAK-4808,ASAZ MANAGEMENT CONSULTING LLP,2017-09-04,Gujarat,AHMEDABAD,0,2,10000,74,Business Services
1,AAK-4810,IAEC CAREER ADVISORS (INDIA) LLP,2017-09-04,Gujarat,AHMEDABAD,0,2,100000,93,"Community, personal & Social Services"
1,AAK-4811,SHREEM HOSPITALITY LLP,2017-09-04,Maharashtra,MUMBAI,0,2,100000,55,Trading
1,AAK-4812,FABRICO DE LINEN INDIA LLP,2017-09-04,Maharashtra,MUMBAI,0,2,100000,51,Trading
1,AAK-4813,BLUENXT4U CONSULTING LLP,2017-09-04,Maharashtra,PUNE,0,2,100000,74,Business Services
1,AAK-4815,OSIRIS EDUVENTURE LLP,2017-09-04,West Bengal,KOLKATA,0,3,20000,80,"Community, personal & Social Services"
1,AAK-4816,POTENTIAL STUDIOS LLP,2017-09-04,Tamil Nadu,CHENNAI,1,3,400000,74,Business Services
1,AAK-4818,BRIGHT BRAINS MEDIA LLP,2017-09-04,Rajasthan,JAIPUR,0,4,99000,74,Business Services
1,AAK-4819,ACE PARTNERS LLP,2017-09-04,Maharashtra,MUMBAI,0,2,50000000,74,Business Services
1,AAK-4820,VMD GLOBAL WEALTH ENHANCERS LLP,2017-09-04,Maharashtra,PUNE,0,3,50000,67,Finance
1,AAK-4821,SILICIS ROAD INDUSTRIES LLP,2017-09-04,Rajasthan,JAIPUR,0,2,50000,74,Business Services
