Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAM-7624,JAKMANS CLOTHING LLP,2018-06-01,Tamil Nadu,CHENNAI,0,2,500000,74,Business Services
1,AAM-7625,TRANSFIGURE MANAGEMENT CONSULTING LLP,2018-06-01,Tamil Nadu,CHENNAI,0,2,100000,74,Business Services
1,AAM-7635,GG BROTHERS LLP,2018-06-01,Tamil Nadu,CHENNAI,0,2,100000,74,Business Services
1,AAM-7613,REAL MULTI TRADE LINK LLP,2018-06-01,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAM-7614,JINAYA JEWEL CAST LLP,2018-06-01,Maharashtra,MUMBAI,0,2,50000,36,Manufacturing (Others)
1,AAM-7615,KS AADHAVAN ENTERPRISES LLP,2018-06-01,Tamil Nadu,COIMBATORE,0,2,200000,74,Business Services
1,AAM-7616,EQUITUS HOSPITALITY LLP,2018-06-01,Delhi,DELHI,0,2,500000,55,Trading
1,AAM-7617,NEWTONS LAW LLP,2018-06-01,Delhi,DELHI,0,2,1000000,93,"Community, personal & Social Services"
1,AAM-7618,LEXCORP BUSINESS CONSULTING LLP,2018-06-01,Delhi,DELHI,0,2,100000,74,Business Services
1,AAM-7619,QE SECURITIES LLP,2018-06-01,Haryana,DELHI,3,2,10000000,74,Business Services
1,AAM-7620,DELHIVINTAGECO. LLP,2018-06-01,Delhi,DELHI,0,2,100000,74,Business Services
1,AAM-7621,SDR ESTATE LLP,2018-06-01,Haryana,DELHI,0,2,100000,70,Real Estate and Renting
1,AAM-7622,R.S. PRABHU & COMPANY LLP,2018-06-01,Delhi,DELHI,0,2,100000,74,Business Services
1,AAM-7626,S.D.DOUNDE CONSTRUCTIONS LLP,2018-06-01,Maharashtra,MUMBAI,0,2,100000,45,Construction
1,AAM-7627,BAG SPORTS MANAGEMENT LLP,2018-06-01,Delhi,DELHI,2,2,100000,74,Business Services
1,AAM-7623,SETSU BUSINESS CONSULTANT LLP,2018-06-01,Gujarat,AHMEDABAD,0,2,50000,74,Business Services
1,AAM-7637,TALOS TRADING AND SERVICES LLP,2018-06-01,Delhi,DELHI,0,2,100000,74,Business Services
1,AAM-7639,ANANTYA ENERGY LLP,2018-06-01,Delhi,DELHI,2,2,100000,74,Business Services
1,AAM-7641,VRIKSH PARTNERS LLP,2018-06-01,Delhi,DELHI,0,2,100000,93,"Community, personal & Social Services"
1,AAM-7642,ANEVOQUE BUILDERS LLP,2018-06-01,Delhi,DELHI,0,3,100000,45,Construction
1,AAM-7643,ROYAL DESIGNER ENTERPRISES LLP,2018-06-01,Delhi,DELHI,0,3,100000,74,Business Services
1,AAM-7644,COMPLIANCE STEWARDS LLP,2018-06-01,Delhi,DELHI,0,2,10000,74,Business Services
1,AAM-7645,INDRAPRASTHA GYMKHANA CLUB SERVICES 1866,2018-06-01,Jharkhand,JHARKHAND,1,2,10000,74,Business Services
1,AAM-7646,SMART CITY GYMKHANA CLUB LLP,2018-06-01,Jharkhand,JHARKHAND,1,2,10000,74,Business Services
1,AAM-7647,RVR ENTERPRISES LLP,2018-06-01,Delhi,DELHI,0,3,3000000,51,Trading
1,AAM-7628,GSC COMMERCIAL ASSET ONE LLP,2018-06-01,Delhi,DELHI,0,2,100000,70,Real Estate and Renting
1,AAM-7629,MAPLE GK INFRASTRUCTURE LLP,2018-06-01,Delhi,DELHI,1,2,500000,70,Real Estate and Renting
1,AAM-7630,CELLENIUM SCIENCES LLP,2018-06-01,Haryana,DELHI,0,2,30000,85,"Community, personal & Social Services"
1,AAM-7631,ALCOR HOSPITALITY LLP,2018-06-01,Haryana,DELHI,0,2,100000,55,Trading
1,AAM-7632,MEHUL EXIM LLP,2018-06-01,Delhi,DELHI,0,2,100000,15,Manufacturing (Food stuffs)
1,AAM-7633,KNOT & TUFT RUGS LLP,2018-06-01,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAM-7634,VISART PROJECT LLP,2018-06-01,Maharashtra,MUMBAI,0,2,10000,74,Business Services
1,AAM-7658,FLYING EARTH LLP,2018-06-01,Maharashtra,MUMBAI,0,2,50000,45,Construction
1,AAM-7675,QUADRANT REALTY LLP,2018-06-02,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAM-7676,SHIV SHARAN REALTY LLP,2018-06-02,Maharashtra,MUMBAI,3,2,100000,70,Real Estate and Renting
1,AAM-7636,QUEEN GATE LAND DEVELOPERS LLP,2018-06-01,Tamil Nadu,CHENNAI,0,2,100000,74,Business Services
1,AAM-7638,DSV INDUSTRIES LLP,2018-06-01,Tamil Nadu,CHENNAI,0,2,1000000,74,Business Services
1,AAM-7640,INSPIRE SPORTS LLP,2018-06-01,Maharashtra,MUMBAI,0,2,200000,74,Business Services
1,AAM-7657,NIJJAR INFRASTRUCTURE LLP,2018-06-01,Punjab,CHANDIGARH,1,2,3000000,74,Business Services
1,AAM-7659,AARNAV WAREHOUSING LLP,2018-06-01,Gujarat,AHMEDABAD,2,2,100000,45,Construction
1,AAM-7660,CK WEALTH PARADISE LLP,2018-06-01,Gujarat,AHMEDABAD,0,3,100000,67,Finance
1,AAM-7662,HVNS FOOD LLP,2018-06-01,Gujarat,AHMEDABAD,0,2,100000,15,Manufacturing (Food stuffs)
1,AAM-7663,HASH EXIM LLP,2018-06-01,Gujarat,AHMEDABAD,0,2,500000,51,Trading
1,AAM-7664,OFF LINE ARCHITECTURE LLP,2018-06-01,Himachal Pradesh,HIMACHAL PRADESH,0,3,100000,74,Business Services
1,AAM-7669,DATA COMPUTRONICS LLP,2018-06-01,Karnataka,BANGALORE,0,2,150000,74,Business Services
1,AAM-7648,INAUGO TECHNOLOGIES LLP,2018-06-01,Delhi,DELHI,0,2,500000,72,Business Services
1,AAM-7649,SILPAR ADVISORS LLP,2018-06-01,Delhi,DELHI,0,2,5000,74,Business Services
1,AAM-7650,WILLIS TOWERS WATSON EMPLOYEE BENEFITS A,2018-06-01,Haryana,DELHI,0,2,200000,74,Business Services
1,AAM-7651,RELAN IMPEX LLP,2018-06-01,Haryana,DELHI,0,2,1000000,52,Trading
1,AAM-7652,JIVAN PANT COACHING LLP,2018-06-01,Delhi,DELHI,0,2,100000,80,"Community, personal & Social Services"
1,AAM-7653,SPD GLOBAL LLP,2018-06-01,Delhi,DELHI,0,2,200000,74,Business Services
1,AAM-7654,FIREFLY FILMS LLP,2018-06-01,Delhi,DELHI,0,2,100000,92,"Community, personal & Social Services"
1,AAM-7655,RR LEGAL PARTNERS LLP,2018-06-01,Delhi,DELHI,0,2,100000,74,Business Services
1,AAM-7656,SRIHAR STONES LLP,2018-06-01,Jharkhand,JHARKHAND,0,3,100000,74,Business Services
1,AAM-7661,NISSAN STUDY SERVICES LLP,2018-06-01,Tamil Nadu,CHENNAI,0,2,100000,74,Business Services
1,AAM-7665,TAX EXPERT LLP,2018-06-01,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAM-7666,GREENSCAPE BUILTCON LLP,2018-06-01,Maharashtra,MUMBAI,0,2,500000,70,Real Estate and Renting
1,AAM-7667,LJTANNA REALTY LLP,2018-06-01,Maharashtra,MUMBAI,0,2,10000,74,Business Services
1,AAM-7668,PRIMEHOME INFRA LLP,2018-06-01,Maharashtra,MUMBAI,0,2,100000,45,Construction
1,AAM-7670,EFFICIENT BUSINESS SERVICES LLP,2018-06-02,Maharashtra,MUMBAI,0,2,100000,93,"Community, personal & Social Services"
1,AAM-7671,WILDERLUST EXPEDITIONS LLP,2018-06-02,Maharashtra,MUMBAI,0,2,100000,63,"Transport, storage and Communications"
1,AAM-7672,TIRUPATI ESTATE DEVELOPERS LLP,2018-06-02,Maharashtra,MUMBAI,0,2,200000,70,Real Estate and Renting
1,AAM-7673,UFAN VENTURES LLP,2018-06-02,Maharashtra,MUMBAI,5,2,5900000,74,Business Services
