Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAN-4924,SPERABELL VITRIFIED LLP,2018-11-01,Gujarat,AHMEDABAD,2,5,100000,26,Manufacture of other non-metal
1,AAN-4923,HORIO FARM PRODUCTS LLP,2018-11-01,Karnataka,BANGALORE,0,2,100000,52,"Retail trade,except of motor v"
1,AAN-4920,OMNA ORGANICS LLP,2018-11-01,Delhi,DELHI,0,3,100000,15,Manufacture of food products a
1,AAN-4921,KHAJOOR TECH LLP,2018-11-01,Delhi,DELHI,0,3,30000,74,Other Business Activities
1,AAN-4925,TECHTION INNOVATION LLP,2018-11-01,Telangana,HYDERABAD,0,2,100000,72,Computer and related activitiess
1,AAN-4927,VASAVI HOMES LLP,2018-11-01,Telangana,HYDERABAD,1,2,1000000,70,Real estate activities
1,AAN-4929,JURISPATH LEGAL SERVICES LLP,2018-11-01,Telangana,HYDERABAD,0,2,100000,74,Other Business Activities
1,AAN-4918,IDIKA DEVELOPERS LLP,2018-11-01,West Bengal,KOLKATA,0,2,100000,70,Real estate activities
1,AAN-4919,WAMIKA INFRAPROJECTS LLP,2018-11-01,West Bengal,KOLKATA,0,2,100000,70,Real estate activities
1,AAN-4922,PAYAGPOUR VINIMAY LLP,2018-11-01,West Bengal,KOLKATA,0,3,3137880,51,Wholesale trade and commission
1,AAN-4926,UNIQUE GREEN HOMES LLP,2018-11-01,Maharashtra,MUMBAI,0,4,50000,45,Construction
1,AAN-4928,CASHIPRO SOLUTIONS LLP,2018-11-01,Maharashtra,PUNE,4,2,50000,74,Other Business Activities
1,AAN-4917,GOTAXI LLP,2018-11-01,Assam,SHILLONG,0,2,100000,63,Supporting and auxiliary trans
1,AAN-4937,PROVANSYS TECHNOLOGIES LLP,2018-11-02,Karnataka,BANGALORE,0,2,15000,72,Computer and related activities
1,AAN-4942,PHARMALEON LLP,2018-11-02,Karnataka,BANGALORE,0,2,1000000,24,Manufacture of chemicals and c
1,AAN-4939,EASWARAN WORKS FURNITURE LLP,2018-11-02,Tamil Nadu,CHENNAI,0,2,100000,36,Manufacture of furniture; manu
1,AAN-4930,CONTACT COMBAT INDIA LLP,2018-11-02,Delhi,DELHI,0,2,100000,92,"Recreational, cultural and spo"
1,AAN-4931,U R INFORIGHTS (INDIA) LLP,2018-11-02,Delhi,DELHI,0,2,113000,74,Other Business Activities
1,AAN-4936,BUILDSWORTH INFRA LLP,2018-11-02,Delhi,DELHI,0,2,1000000,74,Other Business Activities
1,AAN-4945,MERAKI VINE LLP,2018-11-02,Haryana,DELHI,0,2,100000,52,"Retail trade,except of motor v"
1,AAN-4951,DIGIDEAT TECH LLP,2018-11-02,Delhi,DELHI,0,2,50000,72,Computer and related activities
1,AAN-4957,VEENAPANI CONSULTANTS LLP,2018-11-02,Delhi,DELHI,0,2,453750,74,Other Business Activities
1,AAN-4958,SUMMERVILLE RETRET LLP,2018-11-02,Delhi,DELHI,0,2,500000,55,Hotels and Restaurants
1,AAN-4934,ERATECH MANUFACTURING LLP,2018-11-02,Kerala,ERNAKULAM,3,2,100000,51,Wholesale trade and commission
1,AAN-4941,SOHO RETAIL LLP,2018-11-02,Telangana,HYDERABAD,0,2,100000,15,Manufacture of food products a
1,AAN-4954,OINK LOUNGES LLP,2018-11-02,Rajasthan,JAIPUR,1,2,100000,93,Other Service activities
1,AAN-4956,KRISHVEER AGRITRADE LLP,2018-11-02,Rajasthan,JAIPUR,5,2,6350000,51,Wholesale trade and commission
1,AAN-4938,AMRIT ARTHMATRA LLP,2018-11-02,West Bengal,KOLKATA,0,2,100000,70,Real estate activities
1,AAN-4940,BIMAL-RATNAKAR TRADING COMPANY LLP,2018-11-02,West Bengal,KOLKATA,0,2,2900000,51,Wholesale trade and commission
1,AAN-4933,PLUNGE CONSULTANCY LLP,2018-11-02,Maharashtra,MUMBAI,0,2,100000,74,Other Business Activities
1,AAN-4935,RED CARPET PRODUCTION WORLDWIDE LLP,2018-11-02,Maharashtra,MUMBAI,0,2,100000,92,"Recreational, cultural and spo"
1,AAN-4944,REVO360 MANAGEMENT LLP,2018-11-02,Maharashtra,MUMBAI,0,4,75001,74,Other Business Activities
1,AAN-4946,ARRIVE BY RIVA LLP,2018-11-02,Maharashtra,MUMBAI,0,2,200000,63,Supporting and auxiliary trans
1,AAN-4947,INDOREWALA ENT INSTITUTE LLP,2018-11-02,Maharashtra,MUMBAI,0,2,100000,85,Health and Social Work
1,AAN-4949,CHAITANYA CONSTRUCTION LLP,2018-11-02,Maharashtra,MUMBAI,3,2,25000,45,Construction
1,AAN-4950,WISE WEALTH ADVISORS LLP,2018-11-02,Maharashtra,MUMBAI,0,2,100000,74,Other Business Activities
