Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAN-6176,RAYO MEDIA LLP,2018-12-03,Gujarat,AHMEDABAD,1,2,1000,72,Computer and related activitie
1,AAN-6180,VANDITA TEXTURISING LLP,2018-12-03,Gujarat,AHMEDABAD,1,3,2151700,17,Manufacture of textiles
1,AAN-6190,VGP ENERGY LLP,2018-12-03,Gujarat,AHMEDABAD,1,2,100000,72,Computer and related activitie
1,AAN-6191,KALI CERAMIC LLP,2018-12-03,Gujarat,AHMEDABAD,0,2,100000,26,Manufacture of other non-metal
1,AAN-6196,SAMARIKA PHARMA SOLUTIONS LLP,2018-12-03,Gujarat,AHMEDABAD,1,2,100000,29,Manufacture of machinery and e
1,AAN-6197,ADEPTSTATION LLP,2018-12-03,Gujarat,AHMEDABAD,0,2,100000,72,Computer and related activitie
1,AAN-6205,LANSA JEWELLERY LLP,2018-12-04,Gujarat,AHMEDABAD,1,2,300000,36,Manufacture of furniture; manu
1,AAN-6209,GROW NUTRICROPS LLP,2018-12-04,Gujarat,AHMEDABAD,0,2,100000,1,"Activities Agriculture, Huntin"
1,AAN-6210,TAVAT CONSULTANCY LLP,2018-12-04,Gujarat,AHMEDABAD,0,2,100000,74,Other Business Activities
1,AAN-6223,BHAVSAR JEWELLERS LLP,2018-12-04,Gujarat,AHMEDABAD,2,2,100000,51,Wholesale trade and commission
1,AAN-6231,FIRST BANQUET AND HOTEL LLP,2018-12-04,Gujarat,AHMEDABAD,0,2,80000000,55,Hotels and Restaurants
1,AAN-6232,PREFIX STEEL SOLUTIONS LLP,2018-12-04,Gujarat,AHMEDABAD,0,4,100000,27,Manufacture of basic metals
1,AAN-6283,DSOFT INNOVATIONS LLP,2018-12-04,Gujarat,AHMEDABAD,0,2,1000000,74,Other Business Activities
1,AAN-6293,ARIES SOFTWEB LLP,2018-12-04,Gujarat,AHMEDABAD,0,2,100000,72,Computer and related activitie
1,AAN-6294,ORFINA OVERSEAS LLP,2018-12-04,Gujarat,AHMEDABAD,0,3,100000,51,Wholesale trade and commission
1,AAN-6297,KAILASA BUSINESS SOLUTIONS LLP,2018-12-05,Gujarat,AHMEDABAD,0,2,100000,74,Other Business Activities
1,AAN-6300,LUZION ELECTRONICS LLP,2018-12-05,Gujarat,AHMEDABAD,0,2,20000,74,Other Business Activities
1,AAN-6301,R SAM IMPEX AND ADVISORS LLP,2018-12-05,Gujarat,AHMEDABAD,0,2,10000,74,Other Business Activities
1,AAN-6338,SHREE RAM OXAIR LLP,2018-12-05,Gujarat,AHMEDABAD,2,2,100000,40,"Electricity, Gas, Steam and Ho"
1,AAN-6344,A N PANDEY BUILDCONS LLP,2018-12-05,Gujarat,AHMEDABAD,0,2,100000,45,Construction
1,AAN-6362,TRAVEL HAWKS LLP,2018-12-05,Gujarat,AHMEDABAD,0,2,100000,63,Supporting and auxiliary trans
1,AAN-6375,TECH4QUALITY LIFE LLP,2018-12-05,Gujarat,AHMEDABAD,0,2,200000,85,Health and Social Work
1,AAN-6392,XEROTH LLP,2018-12-05,Gujarat,AHMEDABAD,0,2,50000,74,Other Business Activities
1,AAN-6397,KNP GLOBAL RESEARCH LLP,2018-12-05,Gujarat,AHMEDABAD,0,3,10000,74,Other Business Activities
1,AAN-6402,HIGHRISE LANDMARK BUILDTECH LLP,2018-12-05,Gujarat,AHMEDABAD,2,2,100000,45,Construction
1,AAN-6428,RAVISH PAPER LLP,2018-12-06,Gujarat,AHMEDABAD,3,2,100000,21,Manufacture of paper and paper
1,AAN-6453,PLEXUS WEB LLP,2018-12-06,Gujarat,AHMEDABAD,3,3,100000,74,Other Business Activities
1,AAN-6484,ARUPA LEGAL LLP,2018-12-06,Gujarat,AHMEDABAD,0,2,10000,74,Other Business Activities
1,AAN-6488,STYLORY INDIA LLP,2018-12-06,Gujarat,AHMEDABAD,0,2,100000,36,Manufacture of furniture; manu
1,AAN-6489,7S ENERGEC SOLUTIONS LLP,2018-12-06,Gujarat,AHMEDABAD,0,2,100000,29,Manufacture of machinery and e
1,AAN-6499,ASHAPURA KACHCHH CARGO MOVERS LLP,2018-12-06,Gujarat,AHMEDABAD,0,2,100000,63,Supporting and auxiliary trans
1,AAN-6506,BARODA MUSIC ACADEMY LLP,2018-12-06,Gujarat,AHMEDABAD,0,2,500000,80,Education
1,AAN-6532,VARIN METALS LLP,2018-12-06,Gujarat,AHMEDABAD,0,2,100000,27,Manufacture of basic metals
1,AAN-6543,MEDICONNECT TOTAL SOLUTIONS LLP,2018-12-06,Gujarat,AHMEDABAD,0,2,100000,74,Other Business Activities
1,AAN-6550,HN CONSULTANCY LLP,2018-12-06,Gujarat,AHMEDABAD,0,3,100000,74,Other Business Activities
1,AAN-6560,RELIABLE SECURITY INSTRUMENT LLP,2018-12-06,Gujarat,AHMEDABAD,0,4,100000,74,Other Business Activities
1,AAN-6594,SKYWATER RETAIL LLP,2018-12-07,Gujarat,AHMEDABAD,1,2,100000,51,Wholesale trade and commission
1,AAN-6595,VET-IMPULSE HEALTH CARE LLP,2018-12-07,Gujarat,AHMEDABAD,1,2,900000,51,Wholesale trade and commission
1,AAN-6616,SHREE BHUDEV GLOBAL LLP,2018-12-07,Gujarat,AHMEDABAD,0,3,100000,51,Wholesale trade and commission
1,AAN-6621,VIRTUAL BUSINESS LLP,2018-12-07,Gujarat,AHMEDABAD,0,2,100000,74,Other Business Activities
1,AAN-6631,FUZAN BANGLES LLP,2018-12-07,Gujarat,AHMEDABAD,0,2,100000,74,Other Business Activities
1,AAN-6640,AIRTHIUM LLP,2018-12-07,Gujarat,AHMEDABAD,0,2,10000,63,Supporting and auxiliary trans
